name,link,desc,chef,prepTime,cooktime,total,ingredients,instructions,rating,num_of_reviews,calories,servings,fat,carb,protein,cholesterol,sodium
Blueberry Sour Cream Coffee Cake,http://allrecipes.com/recipe/70828/blueberry-sour-cream-coffee-cake/,"""One really delicious and really unhealthy Sunday coffee cake. I have no idea where I got this recipe from but it was about thirty years ago and has been a family favorite since. The bake time is a bit longer if you're using frozen berries.""",d newman,20 m,1 h,1 h 20 m,,"Preheat the oven to 350 degrees F (175 degrees C). Grease and flour a 9 inch Bundt pan.
In a large bowl, cream together the butter and sugar until light and fluffy. Beat in the eggs one at a time, then stir in the sour cream and vanilla. Combine the flour, baking powder, and salt; stir into the batter just until blended. Fold in blueberries.
Spoon half of the batter into the prepared pan. In a small bowl, stir together the brown sugar, cinnamon and pecans. Sprinkle half of this mixture over the batter in the pan. Spoon remaining batter over the top, and then sprinkle the remaining pecan mixture over. Use a knife or thin spatula to swirl the sugar layer into the cake.
Bake for 55 to 60 minutes in the preheated oven, or until a knife inserted into the crown of the cake comes out clean. Cool in the pan over a wire rack. Invert onto a serving plate, and tap firmly to remove from the pan. Dust with confectioners' sugar just before serving.",4.65915250778198,918,459 ,12 servings (1 - 9 inch Bundt cake),24,59.5,4.1,80,223
Pastel de Tres Leches (Three Milk Cake),http://allrecipes.com/recipe/221907/pastel-de-tres-leches-three-milk-cake/,"""Is a sponge cake soaked in a mixture of three kinds of milk, topped with whipped cream and strawberries (optional).""",Patty Valle Kafati,25 m,25 m,1 h 50 m,"3296, 3297, 3298, 3299, 3300","Preheat oven to 350 degrees F (175 degrees C).
Grease a 10x15-inch baking dish.
Beat egg whites in a large mixing bowl with an electric mixer on high until stiff peaks form; gradually beat in sugar until mixture is glossy. Beat in egg yolks, one at a time, combining each yolk before adding the next. Reduce mixer speed to medium and add flour, about 1 tablespoon at a time, to the mixture, beating continuously; beat in baking powder, milk, and vanilla extract. Pour batter into prepared baking dish.
Bake in the preheated oven until cake is lightly browned and a toothpick inserted in the middle comes out clean, about 25 minutes. Let cake cool for 15 minutes.
Pour 1 cup cream, sweetened condensed milk, and evaporated milk in a blender and pulse several times until well blended. Pour three-milk mixture evenly over the cake. Refrigerate cake until cold and the milk mixture has soaked in, at least 1 hour.
Cut in squares and top each serving with a dollop of whipped cream and a few sliced strawberries. Refrigerate leftovers.",4.67391300201416,78,396 ,12 servings (1 10x15-inch cake),18.8,48.2,9.8,154,244
Microwave Chocolate Mug Cake,http://allrecipes.com/recipe/241038/microwave-chocolate-mug-cake/,"""This is my own version of the chocolate microwave mug cake. This chocolaty fudgy treat is truly decadent and great for nights when I need a yummy dessert that is ready in less than 10 minutes! Chocolate chips make this recipe even better.""",safinabakes1231,5 m,2 m,7 m,"3301, 3302","Mix flour, sugar, cocoa powder, baking soda, and salt in a microwave-safe mug; stir in milk, canola oil, water, and vanilla extract.
Cook in microwave until cake is done in the middle, about 1 minute 45 seconds.",4.54185009002686,393,603 ,1 servings (1 cake),30.4,82,6.9,4,470
Killer Cheesecake,http://allrecipes.com/recipe/47741/killer-cheesecake/,"""This is a basic delicious cheesecake that you can spruce up with sugared strawberries or blueberries on top, but it is fantastic just plain.  Yummy!""",AUSTNTACHS,30 m,40 m,3 h 30 m,"3303, 3304, 3305","Preheat oven to 375  degrees F (190 degrees C).
In a food processor, combine graham crackers, 2 tablespoons sugar, butter and cinnamon. Pulse until smooth. Press into the bottom of an 8x12 inch baking dish.
In the food processor, combine cream cheese, 1 cup sugar, eggs and vanilla. Process until smooth. Pour over crust.
Bake in preheated oven for 25 to 30 minutes, or until filling is set. Allow to cool for 2 hours.
Preheat oven to 350 degrees F (175 degrees C). In a small bowl, mix together sour cream, sugar and vanilla. Spread over top of cheesecake. Bake in preheated oven for 10 to 15 minutes.",4.63565874099731,105,495 ,12 servings,37.6,32.9,7.9,145,333
German Marble Cake,http://allrecipes.com/recipe/7807/german-marble-cake/,"""This is a lovely cake with the taste of almond and chocolate and it is almost like a pound cake.""",Carol
Double Layer Pumpkin Cheesecake,http://allrecipes.com/recipe/13477/double-layer-pumpkin-cheesecake/,"""A great alternative to pumpkin pie, especially for those cheesecake fans out there. Serve topped with whipped cream.""",Stephanie Phillips,30 m,40 m,4 h 10 m,"3306, 3307, 3308, 3309","Preheat oven to 325 degrees F (165 degrees C).
In a large bowl, combine cream cheese, sugar and vanilla. Beat until smooth. Blend in eggs one at a time. Remove 1 cup of batter and spread into bottom of crust; set aside.
Add pumpkin, cinnamon, cloves and nutmeg to the remaining batter and stir gently until well blended. Carefully spread over the batter in the crust.
Bake in preheated oven for 35 to 40 minutes, or until center is almost set. Allow to cool, then refrigerate for 3 hours or overnight. Cover with whipped topping before serving.",4.77463960647583,2366,426 ,8 servings,29,35.5,7.2,108,354
Sam's Famous Carrot Cake,http://allrecipes.com/recipe/8270/sams-famous-carrot-cake/,"""My Grandfather (Sam) was famous for this cake. Everyone who knew him, knows of his famous carrot cake.  He would always have some available for anyone who wanted it. We'll miss him, but his carrot cake legacy will always live on! Enjoy!""",Brian D'Amico,20 m,1 h,1 h 40 m,"3310, 3311, 3312, 3313, 3314","Preheat oven to 350 degrees F (175 degrees C). Grease and flour an 8x12 inch pan.
In a medium bowl, sift together flour, baking soda, salt and cinnamon. Set aside.
In a large bowl, combine eggs, buttermilk, oil, sugar and vanilla. Mix well. Add flour mixture and mix well.
In a medium bowl, combine shredded carrots, coconut, walnuts, pineapple and raisins.
Using a large wooden spoon or a very heavy whisk, add carrot mixture to batter and fold in well.
Pour into prepared 8x12 inch pan, and bake at 350 degrees F (175 degrees C) for 1 hour. Check with toothpick.
Allow to cool for at least 20 minutes before serving.",4.77765369415283,2100,374 ,15 servings (1 - 8x12 inch pan),18.8,48.7,5.2,38,259
Banana Cake VI,http://allrecipes.com/recipe/8333/banana-cake-vi/,"""This cake was first made for me by a friend while I was visiting her after she had delivered her 11th child. I told her, 'I should have baked for you!'""",Cindy Carnes,30 m,1 h,2 h 30 m,,"Preheat oven to 275 degrees F (135 degrees C). Grease and flour a 9x13 inch pan. In a small bowl, mix mashed bananas with lemon juice, set aside. In a medium bowl, mix flour, baking soda and salt. Set aside.
In a large bowl, cream 3/4 cup butter and 2 1/8 cups sugar until light and fluffy. Beat in the eggs one at a time, then stir in 2 teaspoons vanilla.  Beat in the flour mixture alternately with the buttermilk. Stir in banana mixture. Pour batter into prepared pan.
Bake in preheated oven for 1 hour, or until a toothpick inserted into the center of the cake comes out clean. Remove from oven and place directly into freezer for 45 minutes. This will make the cake very moist.
For the frosting: In a large bowl, cream 1/2 cup butter and cream cheese until smooth. Beat in 1 teaspoon vanilla. Add confectioners sugar and beat on low speed until combined, then on high until frosting is smooth. Spread on cooled cake.",4.75766611099243,1962,453 ,18 servings (1 - 9x13 inch pan),18.4,68.6,5.2,79,299
Tiramisu Layer Cake,http://allrecipes.com/recipe/25639/tiramisu-layer-cake/,"""Fancy taste without all the work.  This cake is wonderful for a get together or just a special occasion at home.  Using a box cake mix as a base it's a real time saver!""",bettina,5 m,20 m,2 h,"3315, 3316, 3317, 3318, 3319, 3320, 3321, 3322, 3323, 3324, 3325, 3326","Preheat oven to 350 degrees F (175 degrees C). Grease and flour 3 (9 inch) pans.
Prepare the cake mix according to package directions. Divide two thirds of batter between 2 pans. Stir instant coffee into remaining batter; pour into remaining pan.
Bake in the preheated oven for 20 to 25 minutes, or until a toothpick inserted into the center of the cake comes out clean. Let cool in pan for 10 minutes, then turn out onto a wire rack and cool completely. In a measuring cup, combine brewed coffee and 1 tablespoon coffee liqueur; set aside.
To make the filling:  In a small bowl, using an electric mixer set on low speed, combine mascarpone, 1/2 cup confectioners' sugar and 2 tablespoons coffee liqueur; beat just until smooth. Cover with plastic wrap and refrigerate.
To make the frosting:  In a medium bowl, using an electric mixer set on medium-high speed, beat the cream, 1/4 cup confectioners' sugar and 2 tablespoons coffee liqueur until stiff. Fold 1/2 cup of cream mixture into filling mixture.
To assemble the cake:   Place one plain cake layer on a serving plate. Using a thin skewer, poke holes in cake, about 1 inch apart. Pour one third of reserved coffee mixture over cake, then spread with half of the filling mixture. Top with coffee-flavored cake layer; poke holes in cake. Pour another third of the coffee mixture over the second layer and spread with the remaining filling. Top with remaining cake layer; poke holes in cake. Pour remaining coffee mixture on top. Spread sides and top of cake with frosting. Place cocoa in a sieve and lightly dust top of cake.  Garnish with chocolate curls.  Refrigerate at least 30 minutes before serving.
To make the chocolate curls, use a vegetable peeler and run it down the edge of the chocolate bar.",4.76630115509033,1329,465 ,12 servings (1 - 3 layer 9 inch cake),28.9,46.3,4.4,78,309
5-Minute Microwave Nutella® Cake,http://allrecipes.com/recipe/230649/5-minute-microwave-nutella-cake/,"""As a poor starving college student, this recipe is one of my favorites. It is quick, cheap, and 1-portion size. I actually make about 6 servings of the dry ingredients ahead of time, then add the liquid later. The dry is about 11 tablespoons. A whipping cream or ice cream topping completes this heavenly dessert. Can substitute peanut butter for hazelnut spread, but cut the portion to 1 1/2 tablespoon. You can increase cocoa powder and hazelnut spread to 3 tablespoons each and substitute almond extract for vanilla if desired.""",Kitty,10 m,5 m,15 m,"3327, 3328, 3329","Stir self-rising flour, sugar, egg, vegetable oil, milk, cocoa powder, chocolate-hazelnut spread, salt, and vanilla extract together in a large mug until batter is smooth.
Cook in microwave oven on full power until the cake has risen in the mug and is set in the center, 1 1/2 to 2 1/2 minutes.",4.34999990463257,54,475 ,2 servings (2 serving),28.8,50.4,7.5,95,840
David's Yellow Cake,http://allrecipes.com/recipe/24972/davids-yellow-cake/,"""After trying different cake recipes that I thought were too dry, I decided to try making up one of my own.""",JDSIMON,20 m,30 m,50 m,"3330, 3331","Preheat oven to 350 degrees F (175 degrees C). Grease and flour 2 - 8 inch round pans. Sift together the flour, baking powder and salt. Set aside.
In a large bowl, cream together the butter and sugar until light and fluffy. Beat in the egg yolks one at a time, then stir in the vanilla.  Beat in the flour mixture alternately with the milk, mixing just until incorporated. Pour batter into prepared pans.
Bake in the preheated oven for 25 to 30 minutes, or until tops spring back when lightly tapped. Cool 15 minutes before turning out onto cooling racks.",4.4372124671936,1265,360 ,12 servings (2 - 8 inch layers),18.8,44.2,4.3,178,278
Pecan Sour Cream Coffee Cake,http://allrecipes.com/recipe/246868/pecan-sour-cream-coffee-cake/,"""For me, the best part about coffee cake is the crispy, crunchy, buttery crumbs. So here I significantly upped the amounts used. Bake times will vary according to pan size and composition.""",Chef John,25 m,30 m,55 m,"3332, 3333, 3334, 3335, 3336, 3337, 3338, 3339, 3340","Preheat oven to 350 degrees F (175 degrees C). Butter an 8-inch by 10-inch baking dish.
Mix pecans, 1/3 cup white sugar, brown sugar, cinnamon, salt, and melted butter thoroughly in a mixing bowl until all components are coated with butter, 3 to 4 minutes.
In a separate bowl, whisk together flour, salt, baking powder, and baking soda.
In another bowl, mix together butter and 1 cup sugar with a spatula until well blended. Add 1 egg and whisk until mixture is smooth, 2 to 3 minutes. Whisk in second egg until thoroughly incorporated. Add vanilla and sour cream; whisk together. Add flour mixture to wet ingredients; whisk until flour disappears (do not over mix).
Spread one half of the batter evenly into the bottom of the prepared baking dish. Scatter one half of the crumb mixture evenly over the top of the batter. Top with the rest of the batter and spread carefully to evenly distribute, trying not to disturb the crumbs. Top with the rest of the crumb mixture. Very gently press crumbs into batter. Bake in preheated oven until a bamboo skewer comes out clean, 30 to 35 minutes. Let cool slightly before serving.",4.75423717498779,97,634 ,8 servings,38.1,69.3,7.6,101,474
Cake Balls,http://allrecipes.com/recipe/67656/cake-balls/,"""This recipe is very versatile and heavily addictive. You can mix and match cake and icing flavors as well as the chocolate coatings. The variations are unlimited, and they can be nicely packaged and given as gifts.""",Allison,40 m,30 m,3 h 10 m,"3341, 3342, 3343","Prepare the cake mix according to package directions using any of the recommended pan sizes. When cake is done, crumble while warm into a large bowl, and stir in the frosting until well blended.
Melt chocolate coating in a glass bowl in the microwave, or in a metal bowl over a pan of simmering water, stirring occasionally until smooth.
Use a melon baller or small scoop to form balls of the chocolate cake mixture. Dip the balls in chocolate using a toothpick or fork to hold them. Place on waxed paper to set.",4.26016616821289,1867,124 ,36 servings (3 dozen),5.2,19.7,1.1,< 1,143
Black Magic Cake,http://allrecipes.com/recipe/8372/black-magic-cake/,"""Super spooky dark chocolate cake. Suitable for all your black magic get-togethers.""",Marsha,15 m,35 m,1 h,3344,"Preheat oven to 350 degrees F (175 degrees C). Grease and flour two 9 inch round cake pans or one 9x13 inch pan.
In large bowl combine flour, sugar, cocoa,  baking soda, baking powder and salt. Make a well in the center.
Add eggs, coffee, buttermilk, oil and vanilla. Beat for 2 minutes on medium speed. Batter will be thin. Pour into prepared pans.
Bake at 350 degrees F (175 degrees C) for 30 to 40 minutes, or until toothpick inserted into center of cake comes out clean. Cool for 10 minutes, then remove from pans and finish cooling on a wire rack. Fill and frost as desired.",4.76684904098511,2104,155 ,24 servings (1 - 9x13 inch or 2 - 9 inch round pans),5.5,25.7,2.3,16,240
Homemade Cream-Filled Sponge Cakes,http://allrecipes.com/recipe/219910/homemade-cream-filled-sponge-cakes/,"""My homemade take on the traditional Twinkies® and Raspberry Zingers®, two recipes in one. A bit time-consuming, but oh so delicious!""",Caroline,1 h,15 m,3 h 15 m,"3345, 3346, 3347, 3348, 3349, 3350, 3351, 3352","Preheat an oven to 325 degrees F (165 degrees C).
Cut a 12x14-inch sheet of aluminum foil. Fold it in half lengthwise, then in half again widthwise.
Wrap the foil partially around a spice jar lengthwise, bringing foil up around the jar and crushing the foil around the ends of the jar to make a boat-shaped baking form about 4 inches long, 2 1/2 inches tall, and 1 1/2 inch wide. Repeat with 15 more pieces of foil to make 16 boat-shaped baking forms. Shape the bottoms of the forms to be slightly flat so forms can stand up.
Spray the forms with cooking spray, and place onto a baking sheet.
Mix together 1 cup water, eggs, and vegetable oil in a bowl with an electric mixer set on low speed.
Beat in yellow cake mix on medium speed for 2 minutes.
Beat in the vanilla pudding mix until smooth, about 3 minutes more.
Divide the batter evenly into the prepared aluminum foil baking forms, filling each form about 1/2 full.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, 11 to 15 minutes. Cool in the forms for 10 minutes before removing to cool completely on a wire rack.
Beat together the butter, shortening, vanilla extract, and salt in a bowl with an electric mixer until smooth, about 3 minutes.
Beat in the confectioners' sugar on low speed, gradually increasing speed to high until frosting is smooth and fluffy.
Mix in the marshmallow fluff, beating on high speed until light and airy.
Spoon frosting into a pastry bag equipped with a round pastry tip.
Remove the cakes from the baking forms.
With a sharp knife, cut a 2-inch slit lengthwise on the flat bottom side of a cake.
Pipe a generous amount of the frosting into the slit, holding the shape of the cake with your hand to prevent splitting. Repeat with the remaining cakes.
For the coconut-raspberry variation: Bring 2 cups water and raspberry gelatin mix to a boil in a saucepan until the gelatin dissolves, about 5 minutes.
Pour mixture into a shallow dish and refrigerate until thickened but not set, about 15 minutes.
Place coconut flakes in a food processor. Pulse until flakes are finely chopped.
Transfer the coconut to a shallow dish and stir in enough cornstarch to achieve a loose texture.
Dip a filled cake in the thickened gelatin, turning to coat all sides; roll the cake in the coconut mixture. Repeat with remaining cakes.
Arrange the coconut-coated cakes on a wire rack until gelatin and coconut are set, about 2 hours.",4.8461537361145,12,529 ,16 servings (16 cakes),24,77,3.4,47,487
Mardi Gras King Cake,http://allrecipes.com/recipe/8144/mardi-gras-king-cake/,"""The King Cake is a New Orleans tradition that involves a pastry, a small plastic baby, and a party. The King Cake is baked with a small plastic baby hidden inside, the person who gets the slice with baby in it has to host the next party.""",Jo,1 h,30 m,4 h 30 m,"3353, 3354, 3355, 3356, 3357","Scald milk, remove from heat and stir in 1/4 cup of butter. Allow mixture to cool to room temperature. In a large bowl, dissolve yeast in the warm water with 1 tablespoon of the white sugar. Let stand until creamy, about 10 minutes.
When yeast mixture is bubbling, add the cooled milk mixture. Whisk in the eggs. Stir in the remaining white sugar, salt and nutmeg. Beat the flour into the milk/egg mixture 1 cup at a time. When the dough has pulled together, turn it out onto a lightly floured surface and knead until smooth and elastic, about 8 to 10 minutes.
Lightly oil a large bowl, place the dough in the bowl and turn to coat with oil. Cover with a damp cloth or plastic wrap and let rise in a warm place until doubled in volume, about 2 hours. When risen, punch down and divide dough in half.
Preheat oven to 375 degrees F (190 degrees C). Grease 2 cookie sheets or line with parchment paper.
To Make Filling: Combine the brown sugar, ground cinnamon, chopped pecans, 1/2 cup flour and 1/2 cup raisins. Pour 1/2 cup melted butter over the cinnamon mixture and mix until crumbly.
Roll dough halves out into large rectangles (approximately 10x16 inches or so). Sprinkle the filling evenly over the dough and roll up each half tightly like a jelly roll, beginning at the wide side. Bring the ends of each roll together to form 2 oval shaped rings. Place each ring on a prepared cookie sheet. With scissors make cuts 1/3 of the way through the rings at 1 inch intervals. Let rise in a warm spot until doubled in size, about 45 minutes.
Bake in preheated oven for 30 minutes. Push the doll into the bottom of the cake. Frost while warm with the confectioners' sugar blended with 1 to 2 tablespoons of water.",4.49393939971924,277,418 ,16 servings (2 cakes),13.4,68.7,7.2,47,300
Rainbow Citrus Cake,http://allrecipes.com/recipe/23109/rainbow-citrus-cake/,"""Tri-colored cake with a lemon layer, lime layer and an orange layer. The filling is a lemon curd and the frosting is orange.""",HILARY2000,45 m,30 m,2 h 45 m,"3358, 3359, 3360, 3361, 3362, 3363, 3364, 3365, 3366, 3367, 3368","Preheat oven to 350 degrees F (175 degrees C). Grease and flour three 9-inch pans. Sift together the flour, baking powder, and salt. Set aside.
In a large bowl, cream together the shortening and sugar until light and fluffy. Beat in the eggs one at a time, mixing until each egg is incorporated; stir in the vanilla. Beat in the flour mixture alternately with the milk. Divide batter into 3 bowls.
In the first bowl, stir in lemon zest and yellow food coloring; pour into prepared pan. In the second bowl, stir in orange zest and orange food coloring; pour into second prepared pan. In the last bowl, stir in the lime zest and green food coloring; pour into third prepared pan.
Bake in the preheated oven until a toothpick inserted into the center of each cake layer comes out clean, about 30 minutes. Let cool in pan for 5 minutes, then turn out onto a wire rack and cool completely.
Assemble the cake: stack the layers together with the Lemon Filling in between the layers. Frost sides and top with Orange Cream Frosting. Refrigerate until serving.",4.25454568862915,47,434 ,12 servings (1 3-layer 9-inch cake),15.4,67.5,6.9,64,380
German Chocolate Cake III,http://allrecipes.com/recipe/17644/german-chocolate-cake-iii/,"""A spectacular German Chocolate cake made from scratch, using cake flour.""",Dean,30 m,30 m,1 h,"3369, 3370, 3371, 3372, 3373, 3374","Preheat oven to 350 degrees F (175 degrees C). Grease and flour 3 - 9 inch round pans. Sift together the flour, baking soda and salt. Set aside. In a small saucepan, heat water and 4 ounces chocolate until melted. Remove from heat and allow to cool.
In a large bowl, cream 1 cup butter and 2 cups sugar until light and fluffy. Beat in 4 egg yolks one at a time. Blend in the melted chocolate mixture and vanilla.  Beat in the flour mixture alternately with the buttermilk, mixing just until incorporated.
In a large glass or metal mixing bowl, beat egg whites until stiff peaks form. Fold 1/3 of the whites into the batter, then quickly  fold in remaining whites until no streaks remain.
Pour into 3 - 9 inch pans Bake in the preheated oven for 30 minutes, or until a toothpick inserted into the center of the cake comes out clean. Allow to cool for 10 minutes in the pan, then turn out onto wire rack.
To make the Filling:  In a saucepan combine 1 cup sugar, evaporated milk, 1/2 cup butter, and 3 egg yolks. Cook over low heat, stirring constantly until thickened. Remove from heat. Stir in coconut, pecans and vanilla. Cool until thick enough to spread.
Spread filling between layers and on top of cake. In a small saucepan, melt shortening and 1 ounce of chocolate. Stir until smooth and drizzle down the sides of the cake.",4.65613603591919,682,735 ,12 servings (1 - 3 layer 9 inch cake),40.6,88.3,9.1,187,458
Strawberry Cheesecake,http://allrecipes.com/recipe/222588/strawberry-cheesecake/,"""This creamy strawberry cheesecake is perfect for any special occasion! You have to bake the cake and let it cool for an hour, then chill it in the refrigerator for at least 4 hours prior to serving.""",Kathy Higgins,1 h,45 m,10 h 45 m,"3375, 3376, 3377, 3378","Combine graham cracker crumbs, sugar, cinnamon, and butter in a bowl. Press onto the bottom of an ungreased 9-inch springform pan. Refrigerate for 30 minutes.
Preheat oven to 300 degrees F (150 degrees C).
Place strawberries and cornstarch into a blender. Cover and puree until smooth. Pour strawberry sauce into a saucepan.
Bring to a boil over high heat. Boil and stir until sauce is thick and shiny, about 2 minutes. Set aside 1/3 cup strawberry sauce; cool. Cover and refrigerate remaining sauce for serving.
Beat cream cheese in a mixing bowl with an electric mixer until light and fluffy; gradually beat in condensed milk. Mix in lemon juice and vanilla extract, then beat in eggs on low speed until just combined. Pour half of cream cheese mixture over crust; drop half of reserved strawberry sauce by 1/2 teaspoonfuls on cream cheese layer. Carefully spoon remaining cream cheese mixture over sauce; drop remaining strawberry sauce by 1/2 teaspoonfuls on top. Cut through top layer only with a knife to swirl strawberry sauce.
Bake in preheated oven until center is almost set, 45 to 50 minutes. Cool on a wire rack for 10 minutes. Carefully run a knife around edge of pan to loosen; cool 1 hour longer. Refrigerate overnight. Serve reserved strawberry sauce with cheesecake. If the sauce it too thick, stir in water.",4.64189195632935,118,459 ,12 servings,29.7,41.6,9.3,133,315
Chocolate Cupcakes,http://allrecipes.com/recipe/17377/chocolate-cupcakes/,"""Chocolate cupcakes are the ultimate party food. Make some for your next party!""",Ladan M Miller,15 m,15 m,30 m,"3379, 3380","Preheat oven to 350 degrees F (175 degrees C). Line a muffin pan with paper or foil liners. Sift together the flour, baking powder, baking soda, cocoa and salt. Set aside.
In a large bowl, cream together the butter and sugar until light and fluffy. Add the eggs one at a time, beating well with each addition, then stir in the vanilla. Add the flour mixture alternately with the milk; beat well. Fill the muffin cups 3/4 full.
Bake for 15 to 17 minutes in the preheated oven, or until a toothpick inserted into the cake comes out clean. Frost with your favorite frosting when cool.",3.99439096450806,1035,158 ,16 servings (16 cupcakes),3.9,29.8,3.2,30,114
Our Best Cheesecake,http://allrecipes.com/recipe/236064/our-best-cheesecake/,"""Not only is this our best cheesecake-a rich, creamy, cherry-topped showstopper--it's also one of the easiest to make!""",Philadelphia,15 m
Dark Chocolate Cake I,http://allrecipes.com/recipe/7736/dark-chocolate-cake-i/,"""This recipe features an icing made with cream cheese, cocoa, and cinnamon frosts this dark chocolate cake for an elegant dessert.""",Carol,30 m,30 m,1 h 20 m,3381,"Preheat oven to 350 degrees F (175 degrees C). Grease 3 - 9 inch round cake pans. In medium bowl, pour boiling water over cocoa, and whisk until smooth. Let mixture cool. Sift together flour, baking soda, baking powder and salt; set aside.
In a large bowl, cream butter and sugar together until light and fluffy. Beat in eggs one at time, then stir in vanilla. Add the flour mixture alternately with the cocoa mixture. Spread batter evenly between the 3 prepared pans.
Bake in preheated oven for 25 to 30 minutes. Allow to cool.",4.58427667617798,1313,427 ,12 servings (3 - 9 inch round pans),18.3,63.5,6.6,103,463
New York-Style Cheesecake,http://allrecipes.com/recipe/221142/new-york-style-cheesecake/,"""This is my favorite recipe for New York-style cheesecake, and includes a great technique for letting the citrus-kissed cake finish in the oven, so that no crack forms when the cake cools.""",Chef John,15 m,1 h,4 h 15 m,"3382, 3383, 3384","Preheat oven to 350 degrees F (175 degrees C).
Lightly grease the bottom and sides of a 9-inch springform pan.
Mix graham cracker crumbs and melted butter in a bowl until evenly moistened. Press crumb mixture into the bottom and about 1/2-inch up the sides of the springform pan.
Whisk flour, sour cream, and vanilla extract in bowl. Set aside.
Stir cream cheese and sugar with a wooden spoon in a large bowl until evenly incorporated, 3 to 5 minutes.
Pour milk into cream cheese mixture and whisk until just combined.
Whisk in eggs, one at a time, stirring well after each addition.
Stir in lemon zest, orange zest, and sour cream mixture; whisk until just incorporated.
Pour mixture into prepared springform pan.
Bake in the preheated oven until the edges have nicely puffed and the surface of the cheesecake is firm except for a small spot in the center that will jiggle when the pan is gently shaken, about 1 hour.
When the cheesecake is done, turn off the oven and let it cool in the oven for 3 to 4 hours. This prevents any cracks from forming on the top of the cheesecake.",4.68354415893555,128,556 ,12 servings (1 9-inch cheesecake),37,46.9,10.5,161,408
Carrot Cake III,http://allrecipes.com/recipe/7402/carrot-cake-iii/,"""I've tried many carrot cakes, and this is my favorite recipe. If you don't like pecans, feel free to leave them out.""",Tammy Elliott,30 m,1 h,2 h,,"Preheat oven to 350 degrees F (175 degrees C).  Grease and flour a 9x13 inch pan.
In a large bowl, beat together eggs, oil, white sugar and 2 teaspoons vanilla. Mix in flour, baking soda, baking powder, salt and cinnamon. Stir in carrots. Fold in pecans.  Pour into prepared pan.
Bake in the preheated oven for 40 to 50 minutes, or until a toothpick inserted into the center of the cake comes out clean. Let cool in pan for 10 minutes, then turn out onto a wire rack and cool completely.
To Make Frosting:  In a medium bowl, combine butter, cream cheese, confectioners' sugar and 1 teaspoon vanilla. Beat until the mixture is smooth and creamy. Stir in chopped pecans. Frost the cooled cake.",4.71237754821777,4969,575 ,18 servings (1 - 9x13 inch cake),34.8,63.7,5.1,69,347
Tres Leches (Milk Cake),http://allrecipes.com/recipe/7399/tres-leches-milk-cake/,"""This cake is made with three layers: Cake, filling, and topping.  There are 4 types of milk in the filling and topping (whole milk, condensed milk, evaporated milk, and heavy cream).  This is an excellent cake for milk lovers!""",Stephanie
Best Ever Lemon Drizzle Cake,http://allrecipes.com/recipe/262234/best-ever-lemon-drizzle-cake/,"""I love a good slice of cake and a cup of tea, particularly when it's warm and sunny outside. And nothing says sunshine like bright yellow, zesty lemons! This is one of my favorite, easy recipes for a light, fluffy lemon drizzle cake. 
This is also my boyfriend's absolute favorite; he exclaimed it was the best cake he's ever had, which is certainly saying something! Serve with a cup of tea and a scoop of vanilla ice cream. When life give you lemons, make lemon cake!""",Try This Recipe!,15 m,40 m,55 m,"3385, 3386, 3387, 3388, 3389, 3390","Preheat the oven to 350 degrees F (175 degrees C). Measure ingredients into bowls. Line a loaf pan with parchment paper.
Combine 1 cup plus 2 tablespoons sugar and butter in a large bowl. Beat with an electric mixer until creamy and pale. Add 1 egg at a time, beating until the batter returns to a uniform pale color before adding the next. Sift in flour gradually. Fold with a wooden spoon to be sure flour is combined. Add baking powder and lemon zest.
Pour batter into the prepared pan, being careful not to press it down.
Bake in the preheated oven until a toothpick inserted into the center comes out clean, 40 to 45 minutes. Try not to open the oven door early to avoid collapsing the fluffy cake.
Juice the zested lemon into a small bowl. Add the zest and juice of the second lemon. Stir in 7 tablespoons sugar until dissolved. Pour glaze over the warm cake and leave to cool in the pan; glaze will harden as the cake cools.",0,0,494 ,8 servings (1 loaf),25.8,63,6.4,154,569
Chantal's New York Cheesecake,http://allrecipes.com/recipe/8350/chantals-new-york-cheesecake/,"""This cake is easy to make, and it's so delicious. Everyone that's tried it has said it tasted just like the ones in a deli! You'll love it!""",Taliesen,30 m,1 h,7 h 30 m,,"Preheat oven to 350 degrees F (175 degrees C). Grease a 9 inch springform pan.
In a medium bowl, mix graham cracker crumbs with melted butter. Press onto bottom of springform pan.
In a large bowl, mix cream cheese with sugar until smooth. Blend in milk, and then mix in the eggs one at a time, mixing just enough to incorporate. Mix in sour cream, vanilla and flour until smooth. Pour filling into prepared crust.
Bake in preheated oven for 1 hour. Turn the oven off, and let cake cool in oven with the door closed for 5 to 6 hours; this prevents cracking. Chill in refrigerator until serving.",4.71208477020264,5264,533 ,12 servings (1 9-inch springform pan),35.7,44.2,10.3,159,380
