name,link,desc,chef,prepTime,cooktime,total,ingredients,instructions,rating,num_of_reviews,calories,servings,fat,carb,protein,cholesterol,sodium,image
"Alfalfa Sprouts, Tomatoes and Basil Sandwich",https://www.tarladalal.com/Alfalfa-Sprouts-Tomatoes-and-Basil-Sandwich-38033r,"Alfalfa is a very healthy herb often used in home remedies for digestive disorders, cholesterol, diabetes , etc. Here is an interesting way to prepare a sandwich out of this healthy herb, combined with tomatoes and basil. Remember to use tender alfalfa sprouts for the Alfalfa Sprouts, Tomatoes and Basil Sandwich , as more mature ones are coarse and not so tasty.",Tarla Dalal,10  mins,0 mins ,10 mins ,"1619, 39101, 39102, 39103, 39104, 39105, 39106, 39107","Combine the mayonnaise, basil, tomatoes, alfalfa sprouts, salt and pepper in a bowl and mix well.
Divide the stuffing into 4 equal portions and keep aside.
Place 2 bread slices on a clean, dry surface and apply little prepared butter-mustard paste.
Place 1 lettuce on 1 bread slice, put 1 portion of the prepared stuffing and cover with another bread slice with the buttered-mustard side facing downwards.
Repeat steps 1 and 2 to make 3 more sandwiches.
Cut into triangles and serve immediately.",NULL,NULL,NULL,4 sandwiches,NULL,NULL,NULL,NULL,NULL,"https://www.tarladalal.com/members/9306/big/big_alfa_sprouts,_tomatoes_and_basil_sandwich-6004.jpg?size=500X650"
Ajwain Water,https://www.tarladalal.com/Ajwain-Water-41751r,"Ajwain has a nice, appetizing aroma and tingling taste, which you will be able to ingest and digest even when you are feeling too full and not comfortable in the tummy. This easy Ajwain Water is a magic potion under such circumstances. Sipping on it helps to instantly relieve acidity along with flatulence. Acidity due to indigestion can also be treated with this Ajwain Water. If you have a ready stock of ajwain at home, you can quickly make this whenever you need it.Try other stomach-friendly drinks like Fresh Mint and Lemon Tea and Chunky Muskmelon Drink .",Tarla Dalal,1 mins,10 mins,11 mins ,"39108, 1604","Combine water and carom seeds in a sauce pan, mix well and boil on a medium flame for 8 to 10 minutes.
Switch of the flame and strain it using a strainer in a deep bowl. Keep aside to cool.
Serve warm or cool and serve.",5,3,0 cal,0.5 cup,0 g,0 g,0 g,0 mg,0 mg,https://www.tarladalal.com/members/9306/big/big_ajwain_water-12960.jpg?size=696X905
Alfalfa Sprouts Open Sandwich ( Vitamin A and Calcium Rich Recipe ),https://www.tarladalal.com/Alfalfa-Sprouts-Open-Sandwich-(-Vitamin-A-and-Calcium-Rich-Recipe-)-35069r,"The Arabs call alfalfa sprouts ‘the father of all foods’! Sprouts are fortified with good amounts of nutrients making it a super healthy food. This Alfalfa Sprouts Open Sandwich is loaded with peppers, olives, tomato and cheese, all of which make it an extremely tasty meal as well. The best part is that being an open sandwich, we can cut down on a slice of bread too!You can also try other recipes using alfalfa sprouts like Mango and Burrata Cheese Crostini or Antioxidant, Protein Rich Healthy Lunch Salad .",Tarla Dalal,15 mins,9 mins,24 mins ,"39109, 39110, 39111, 39112, 39113, 39114, 39115, 39116, 39117, 39118, 1269, 39119, 39120, 39121, 39122, 39123, 1269","Pierce the yellow capsicum with a fork, brush it using ¼ tsp of olive oil evenly over it and roast it over an open flame till it turns black from all the sides.
Cool, wash it in cold water and remove the skin, stem and seeds and discard them. Cut the capsicum into thin slices and keep aside.
Repeat steps 1 and 2 for red and green capsicum.
Combine the roasted green, yellow and red capsicum slices, remaining 1½ tsp of olive oil, salt and a little pepper powder in a bowl and mix  well.
Divide the capsicum mixture into 4 equal portions and keep aside.
Cut the footlong bread into 2 pieces from the centre and then cut each piece into 2 halves horizontally. You will get 4 bread halves of 6” each in all.
Place all the 4 bread halves on a flat, dry surface and core the inner side of each halve so as to form a slight depression.
Spread ¼th of the marinade evenly on each bread halve.
Place a portion of the capsicum mixture in the depression of each bread halve and arrange 3 tomato slices over it.
Place 1½ tbsp of alfa-alfa sprouts and ½ tbsp of black olives evenly on each bread halve.
Sprinkle ¼ tsp of oregano, a little salt and ¼ tsp of pepper powder on each bread halve.
Top each bread halve with ½ tbsp of cheese and bake them in a pre-heated oven at 200°c (400°f) for 8 to 10 minutes.
Serve immediately.",5,2,178 calories,4 open sandwiches,      4.3 gm,      25.5 gm,      5.0 gm,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_alfa_alfa_sprouts_open_sandwich_(_vitamin_a_and_calcium_rich_recipe_)-8114.jpg?size=696X905
Almond Jelly with Fruit Cocktail ( Chinese Cooking ),https://www.tarladalal.com/Almond-Jelly-with-Fruit-Cocktail-(-Chinese-Cooking-)-33128r,"Almond jelly with fruit cocktail, fruits and fruit based desserts are popular in china and almond based puddings and jellies are usually savored with fresh fruit. This recipe is classic vietnamese. Little cups of almond flavored jellies are served topped with fresh fruit-which ever is in season. We’ve paired it with fresh lychees, orange, pineapples and strawberries. You can get creative and use other juicy fruits like kiwi, berries etc. And use interesting jelly moulds to yield jelly of different shapes. Refreshing and delicious!",Tarla Dalal,15 mins,15 mins,30 mins ,"39124, 39125, 39126, 39127, 39128, 1378, 39063, 39129, 39130, 39131, 39132","Combine the strawberries, pineapple, lychees and orange segments in a bowl and refrigerate to chill.
Combine the china grass with 1 cup of cold water in a pan and simmer till it dissolves completely. Strain the mixture and keep aside.
Combine the milk and sugar in a pan and bring to boil.
Add the china grass mixture and boil for another 3 to 4 minutes, while stirring continuously. Keep aside to cool slightly.
Add the cream, vanilla essence, almond essence and almonds and mix well.
Pour equal quantities into 4 individual moulds and refrigerate for 30 minutes or till it sets.
Just before serving, divide the fruits into 4 equal portions and keep aside.
Un-mould the jelly onto 4 individual plates and top it with a portion of the fruits. Serve chilled.",5,1,132 cal,4 servings (4 serving ),5.7 g,15 g,2.8 g,0 mg,11.4 mg,https://www.tarladalal.com/members/9306/big/big_almond_jelly_with_fruit_cocktail_(_chinese_cooking_)-6672.jpg?size=500X650
"Almond Bhakri, Gluten Free Almond Bhakri",https://www.tarladalal.com/Almond-Bhakri-Gluten-Free-Almond-Bhakri-41121r,"For many, the aroma of bhakri cooking on the tawa is reminiscent of home-cooked food! Here, we introduce you to a totally off-beat Almond Bhakri. As you will surmise from the name, the Almond Bhakri is quite a rich treat, but it is healthy and gluten-free too, so anybody can go for it. Almonds contain a lot of healthy fats, fibre, protein, magnesium and vitamin E. It helps lower blood sugar levels, reduces blood pressure and keeps cholesterol under check. You will be pleasantly surprised to know that the Almond Bhakri is also good for weight-loss, as almonds and ghee have perfect fats that keep you full for longer. Enjoy these gluten-free bhakris with full-fat curds , a paneer-based subzi or dal to make a tasty meal. Just take care while making the bhakri, as it should only be patted and not rolled.",Tarla Dalal,5 mins,15 mins,801 hours 20 minutes,"39133, 39134, 1269, 39135","Peel the almonds.
Blend the almonds in a mixer to a smooth mixture without using any water.
Transfer the mixture into a deep bowl, add the ghee and salt and mix well to make a dough without using any water.
Divide the dough into 6 equal portions.
Grease the rolling board with ghee, put a portion of the dough and pat it to make a 100 mm. (4”) dimeter circle without using any flour.
Heat a non-stick tava (griddle) and cook the bhakri using ghee till it turns golden brown in colour from both the sides.
Repeat steps 5 and 6 to make 5 more bhakris.
Serve hot.",5,3,NULL,6 bhakris,NULL,NULL,NULL,NULL,NULL,"https://www.tarladalal.com/members/9306/big/big_almond_bhakri,_gluten_free_almond_bhakri-12076.jpg?size=696X905"
"Almond Coconut Bars, No Bake",https://www.tarladalal.com/Almond-Coconut-Bars-No-Bake-41679r,"These delicious snack bars, made with roasted almonds and dry grated coconut are so tasty that you will feel a deep sense of joy when you bite into them. The best part is that they do not even require any baking, so you can make them quickly and easily at home and carry them to work or when you travel, to munch on when you are hungry. It will also be a good surprise to pack in your kids’ snack box. The Almond Coconut Bars have a pleasing flavour and exciting texture that strike the right chord with everybody. The crunch of almonds and the flakiness of coconut match beautifully with the rustic texture of oats and the ever-popular taste of peanut butter. A hint or honey gives the bars a richer taste! The bars stay well at room temperature for 2-3 days but if you cling wrap the bars individually and deep freeze them in a freezer bag, you can keep the bars for over a month!Try other bar recipes like Date Oats and Mixed Berries Granola Bars and Raspberry Oatmeal Nut Bars .",Tarla Dalal,20 mins,3 mins,23 mins ,"39136, 39137, 39138, 39139, 39140, 39141, 2427, 3482","Roast the almonds in a deep non-stick pan on a medium flame for 3 minutes. Cool slightly.
Combine the almonds, coconut, oats, cinnamon powder and salt in a deep bowl  and mix well.
Add the vanilla essence, honey and peanut butter and mix well.
Line a 175 mm. (7”) aluminium tin with foil, put the mixture over it and even it out using your palm.
Refrigerate it for 30 minutes.
Demould it, cut it into 10 equal square shaped bars.
Serve or store it in an air-tight container and use as required.",5,2,331 cal,10 bars,31.8 g,8.5 g,3.3 g,0 mg,215.1 mg,"https://www.tarladalal.com/members/9306/big/big_almond_coconut_bars,_no_bake-12893.jpg?size=696X905"
Almond Biscuits,https://www.tarladalal.com/Almond-Biscuits-41059r,"Nothing to beat the kick of serving homemade biscuits with tea, especially if it is a choice as popular as Almond Biscuits! Indeed, the aroma of Almond Biscuits baking in the oven is enough to make your whole family assemble in the kitchen for their share. These melt-in-the-mouth biscuits with a mild tinge of vanilla and the exciting crunch of almonds will appeal to everybody. You can even consider serving them at parties , with tea  and coffee .",Tarla Dalal,10 mins,0 mins ,32 mins ,"39142, 39143, 39144, 39141, 39145, 39146, 39147","Combine the plain flour, baking powder, vanilla essence and powdered sugar in a deep bowl and mix well.
Add the butter and rub into the flour mixture till it resembles bread crumbs.
Add the milk and almonds and knead  into a dough.
Cover with a lid and refrigerate for 30 minutes.
Roll into a rectangle of 200 mm. (8”) × 150 mm. (6”)  without using any flour for rolling.
Cut into 14 equal pieces as shown in the image.
Place them on a baking tray and bake in a pre-heated oven at 180°c (360°f) for 15 to 17 minutes. Remove and cool on a wire rack.
Serve immediately or store in an air-tight container.",5,1,78 cal,14 biscuits,4 g,8.7 g,1.5 g,0 mg,26 mg,https://www.tarladalal.com/members/9306/big/big_almond_biscuits-11928.jpg?size=696X905
"Almond Flax Bread with Eggs, Gluten Free",https://www.tarladalal.com/Almond-Flax-Bread-with-Eggs-Gluten-Free-41133r,"A loaf without wheat? Unbelievable but true, and absolutely awesome too. Behold the Almond Flax Bread with Eggs. This is a really unique snack, which tastes great and is chock-full of good health too. It is gluten-free, which means that even gluten-sensitive people can enjoy it. Rich in protein, which is good fat, the Almond Flax Bread is an ideal snack for weight loss, and for athletes. You can enjoy it as it is, or with peanut butter . Packed in a foil and refrigerated, it stays good for around five days.",Tarla Dalal,5 mins,0 mins ,50 mins ,"39148, 1286, 39149, 39150, 39151, 39152, 39153, 39154, 39155","Break the eggs in a deep bowl and beat it using a fork. Keep aside.
Blend the almonds in a mixer till smooth.
Transfer the almond mixture into a deep bowl, add all the remaining ingredients along with the beaten eggs and mix well using a spatula.
Grease a 175 mm. By 82. 5 mm. (7“×3. 5 “) loaf tin with melted butter.
Pour the mixture into the greased loaf tin and bake in a pre-heated oven at 150 ºc (300ºf) for 35 to 40 minutes.
Cool, cut into 13 equal slices, pack in an aluminium foil and store in an air-tight container in the refrigerator.
Use as required.",5,1,102 cal,1 loaf ( 13 slices) (13 slice ),8.3 g,2.9 g,4.4 g,0 mg,1.3 mg,"https://www.tarladalal.com/members/9306/big/big_almond_flax_bread_with_eggs,_gluten_free-12198.jpg?size=696X905"
"Almond Honey Cinnamon Milk, Healthy Vegan Breakfast Recipe",https://www.tarladalal.com/Almond-Honey-Cinnamon-Milk-Healthy-Vegan-Breakfast-Recipe-42189r,"Elegantly flavoured and pleasing to the palate, this Almond Honey Cinnamon Milk is a glassful of goodness! It is easy and cost-effective, yet tasty and brimming with nutrients. After several trials, we have arrived at the perfect blend of ingredients, so we suggest you go with it without any modifications. Since whole cinnamon is blended with the almonds, you get a really rich flavour. It doesn’t taste good with cinnamon powder, so stick to the cinnamon stick! We have used honey as a natural sweetener, but vegans can go for maple syrup instead. Almonds are rich in omega-3 fatty acids, which help maintain blood cholesterol levels. It is also a great source of protein and high calcium , making this a wonderful choice for everybody including kids.You can also try Saffron Cardamom Almond Milk or Chocolate Almond Milk .",Tarla Dalal,5 mins,0 mins ,5 mins ,"39156, 39157, 38854, 39130","Combine the almonds, cinnamon, honey, vanilla essence and ¾ cup of cold water in a mixer and blend till smooth.
We have used whole cinnamon stick instead of cinnamon powder, as it gives a correct taste and consistency to the milk.
We recommend a high quality a bullet blender or a vitamix. If the quality of the blender is not good it will not be smooth and there will be small almond pieces left. We have also not strained the milk.
Refrigerate till use and serve chilled. It lasts good in the fridge for 3 days we have tested it.",5,1,146 cal,1 glass,11.8 g,6.2 g,4.3 g,0 mg,0.2 mg,"https://www.tarladalal.com/members/9306/big/big_almond_honey_cinnamon_milk,_healthy_vegan_breakfast_recipe-13448.jpg?size=696X905"
Almond Payasam,https://www.tarladalal.com/Almond-Payasam-32885r,"Any dish made using almonds is unfailingly rich, quite befitting royalty! keep the spices such as cardamom to a minimum in this recipe, so as to highlight the creamy, soothing texture and flavour of almonds. Authentic ‘badam kheer’ made the south indian way omits cardamoms and nutmeg and uses a pinch of raw camphor and saffron (both added after the kheer is removed from the fire) instead. But if you do not find raw camphor, fret not; just go ahead with this recipe as it is!",Tarla Dalal,10 mins,30 mins,1602 hours 40 minutes,"39158, 39159, 6390, 39160, 39161, 39162","Soak the almonds in hot water for 2 hours. Drain, remove the skin and blend in a mixer to a fine paste. Keep aside.
Boil the milk in a heavy-bottomed vessel till it is reduced to ¾ of its quantity, while stirring continuously.
Add the almond paste, sugar, cardamom powder, nutmeg powder and saffron, mix well and simmer for 5 minutes, while stirring continuously. Keep aside.
When it cools completely, refrigerate at least for 2 hours.
Serve chilled.",5,1,339 cal,6 servings,18.2 g,25.1 g,9.8 g,0 mg,31.7 mg,https://www.tarladalal.com/members/9306/big/big_almond-payasam-1726.jpg?size=500X662
"Almond Berry and Coconut Cake, For Fitness and Weight Loss",https://www.tarladalal.com/Almond-Berry-and-Coconut-Cake-For-Fitness-and-Weight-Loss-41134r,"The Almond, Berry and Coconut Cake is a dashing treat for the palate, with its melt-in-the-mouth texture and splendid flavour. This unique cake is made with almond flour, coconut, pumpkin seeds, sunflower seeds and honey, unlike run-of-the-mill cakes that are made with maida and sugar. Your body will thank for the goodness of each of these ingredients! Almonds contain a lot of healthy fats, fibre, protein, magnesium and vitamin E. It helps lower blood sugar levels, reduces blood pressure and keeps cholesterol under check. Coconut is made of medium chain triglycerides, which are transported from the intestinal tract to the liver and immediately converted into fuel for your body! Berries are very special too. They are rich in phytochemicals, which are naturally-occurring nutrients that protect our cells from damage. Pumpkin seeds too are a treasure trove of antioxidants. Berries are sweet, but not the kind that scares diabetics. Together with the honey, the berries make the cake pleasantly sweet. If you want it sweeter, you can add a little more honey. This healthy treat is excellent for weight-watchers and athletes as it is rich in healthy fats. It can be relished any time, as a snack or as a dessert. You can also try other healthy treats like Almond Bread , Paneer Tikka , Broccoli and Bajra Snack and Deviled Eggs",Tarla Dalal,10 mins,0 mins ,651 hours 5 minutes,"39148, 39163, 7070, 39164, 39165, 38988, 39166, 39167, 39142, 39168, 39169","Soak the almonds in enough hot water, cover with  a lid and keep aside for 1 hour. Drain and peel them.
Blend in a mixer along with the sea salt and blend well. Keep aside.
Combine the coconut oil, honey, vanilla essence, 1 tbsp of water in a deep bowl and mix well using a spatula.
Add all the other ingredients including the almond mixture and mix very well using a spatula.
Grease a 175 mm. ( 7”) diameter aluminium tin with coconut oil, put the mixture into it and even it out using a spatula. Bake in a pre-heated oven at 200ºc (400ºf) for 20 minutes.
Serve hot.",5,1,400 cal,6 servings (6 serving ),32.3 g,17.8 g,8.8 g,0 mg,1.5 mg,"https://www.tarladalal.com/members/9306/big/big_almond_berry_and_coconut_cake,_for_fitness_and_weight_loss-12141.jpg?size=696X905"
"Almond Biscuits, Almond Butter Biscuits",https://www.tarladalal.com/Almond-Biscuits-Almond-Butter-Biscuits-2518r,"These buttery cookies surprise you with crunchy bits of almond in every bite! With both powdered almonds and sliced almonds in it, this Almond Biscuit has a melt-in-the-mouth texture as well as an intermittent crunch, which makes it really extraordinary. Despite the amazing taste and texture, these biscuits are surprisingly easy and quick to make, so you can go ahead and try it out right away. Have a go at other exciting almond recipes like Almond Rocks and Almond Til Chikki .",Tarla Dalal,10 mins,0 mins ,40 mins ,"39170, 39142, 39171, 39172, 39011, 39130, 1783","Combine the plain flour and almond slivers in a deep bowl and mix well. Keep aside.
Cream the butter, powdered sugar and vanilla essence in a deep bowl and mix well using a spatula.
Add the plain flour-almonds mixture and mix well using a spatula.
Add the milk gradually and knead gently into a semi-stiff dough without using any water.
Cover the dough with a lid and keep aside to refrigerate for 15 minutes.
Roll the dough into a 200 mm. X 200 mm. (8"" x 8"") rectangle.
Cut the rolled dough into 50 mm. X 50 mm. (2” x 2”) equal square pieces.
Arrange the square pieces on a baking tray at equal intervals and bake in a pre-heated oven at 180°c (360°f) for 25 minutes.
Allow it to cool completely.
Store it in an air-tight container and use as required.",5,1,103 cal,20 servings,5.8 g,10.4 g,2.1 g,0 mg,26 mg,https://www.tarladalal.com/members/9306/big/big_almond_shortcakes-12728.jpg?size=696X905
Almond Biryani,https://www.tarladalal.com/Almond-Biryani-39565r,"You are sure to have tried cashew pulao, but how about Almond Biryani? An innovative rice preparation rich with the aroma of spices, the Almond Biryani combines French beans and green peas with sliced almonds adding a dash of crunchy fun to each mouthful. Using cooked rice and readily available biryani masala, this dish can be prepared within minutes. The garnish of fried onions and almonds adds to the appeal of this biryani.",Tarla Dalal,25 mins,9 mins,34 mins ,"39173, 39174, 39175, 38851, 38809, 39176, 38850, 39177, 38902, 39178, 39179, 38906, 38994, 39180, 39181, 39182, 39183","Heat the ghee in deep non-stick pan, add the almonds and sauté on a medium flame for 2 minutes. Drain and keep aside.
Add the cloves, cardamom, cinnamon and bayleaf in the same non-stick pan and sauté on a medium flame for a few seconds.
Add the caraway seeds and onions and sauté on a medium flame for 1 minute.
Add the garlic and sauté on a medium flame for a few more seconds.
Add the french beans, green peas, green chillies and biryani masala, mix well and cook on a medium flame for 2 to 3 minutes, while stirring occasionally.
Add the almonds and rice, mix well and cook on a medium flame for 2 minutes, while stirring occasionally.
Add the lemon juice and mix gently.
Serve immediately garnished with fried onions and fried almonds.",4,1,266 cal,4 servings,23.7 g,8.1 g,5.2 g,0 mg,2.6 mg,https://www.tarladalal.com/members/9306/big/big_almond_biryani-11747.jpg?size=696X905
Almond Cookie Tiramisu,https://www.tarladalal.com/Almond-Cookie-Tiramisu-4710r,"Here is how you can recreate a popular coffee-flavoured Italian dessert at home within minutes. Made quickly with cookies, instant coffee powder, grated chocolate and cream along with other common ingredients, the almond cookie tiramisu is perfect for those times when you want to serve something exotic but don't have much time to spend in the kitchen.",Tarla Dalal,10 mins,0 mins ,40 mins ,"39184, 39059, 39185, 7441, 39186, 39187, 39188, 39189, 39190, 39191","Combine all the ingredients in a bowl and fold gently.
Fill into a piping bag fitted with a star nozzle and keep refrigerated.
Dip 6 cookies one by one in the soaking syrup and place them on a serving plate.
Pipe out a little filling mixture onto each cookie.
Dip the remaining 6 cookies one by one in the soaking syrup and place them over the filling on each of the 6 cookies.
Garnish with chocolate and almonds and refrigerate for at least 30 minutes.
Serve chilled.
Instead of almond butter cookies, you can also use any other butter cookies.",5,3,NULL,6 servings,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_almond_cookie_tiramisu-7596.jpg?size=696X905
"Almond Bread, Homemade Almond Bread Without Eggs",https://www.tarladalal.com/Almond-Bread-Homemade-Almond-Bread-Without-Eggs-41175r,"A loaf without wheat? Unbelievable but true, and absolutely awesome too. Behold the Almond Bread made with Almond Milk. This recipe is a better option for those that don’t have eggs as in the recipe Almond Flax Bread with Eggs .This is a really unique snack, which tastes great and is chock-full of good health too. It is gluten-free, which means that even gluten-sensitive people can enjoy it. Rich in protein, which is good fat, the Almond Bread is an ideal snack for weight loss, and for athletes. You can enjoy it as it is, or with Peanut Butter . Packed in a foil and refrigerated, it stays good for around five days.",Tarla Dalal,5 mins,0 mins ,45 mins ,"39192, 39193, 39194, 39195, 38803, 39196","Put the almonds in a mixer and blend till smooth.
Combine the almond milk, flax seeds powder and apple cider vinegar in a bowl and mix well. Keep aside.
Combine the almond flour, salt, baking powder in a deep bowl and mix well.
Add the almond milk mixture and 2 tbsp of water and mix very well using a spatula.
Pour the mixture into a greased 200 mm. (8”) × 100 mm. (4”) rectangle aluminium loaf tin and bake in a pre-heated oven at 200ºc (400ºf) for 35 minutes.
Cool slightly, demould and cut into 11 equal slices.
Serve immediately or store in an air-tight container and use as required.",5,2,95 cal,1 loaf (11 slices) (11 slice ),8.4 g,2.3 g,3.1 g,0 mg,4.4 mg,"https://www.tarladalal.com/members/9306/big/big_almond_bread,_homemade_almond_bread_without_eggs-12197.jpg?size=696X905"
"Almond Milk, Homemade Pure Almond Milk",https://www.tarladalal.com/Almond-Milk-Homemade-Pure-Almond-Milk-40984r,"Here is how to make pure, soothing and tasty Almond Milk! This pure Almond Milk is rich in protein and iron , and wonderful for endurance athletes . It is a good substitute for milk for lactose intolerant people.This is an instant Almond milk which does not require and soaking of Almonds and then straining the blended milk. You can also try our recipe made with soaked almonds Homemade Almond Milk Made with Soaked Almonds . It has a pleasant taste, which can be enhanced further with a dash of honey. You can make a batch of this Almond Milk and store it in the fridge for three days in an airtight container. This almond milk can be used as a base for making many recipes like Avocado Almond Milk Vegan Smoothie and Healthy Peanut Almond Milk Oatmeal, for Breakfast",Tarla Dalal,2 mins,0 mins ,2 mins ,"39156, 7688","Combine the almonds and cold water in a mixer and blend till smooth. We recommend a high quality a bullet blender or a vitamix. If the quality of the blender is not good it will not be smooth and there will be small almond pieces left.
We suggest you get a high quality blender that can also be used for making lovely smoothies and juices. Ingredients like carrot, almonds, etc can also be easily blended in it…
Serve chilled.",5,2,131 cal,1 glass,11.8 g,2.1 g,4.2 g,0 mg,0 mg,"https://www.tarladalal.com/members/9306/big/big_almond_milk,_homemade_pure_almond_milk-11685.jpg?size=696X905"
Almond Biscotti,https://www.tarladalal.com/Almond-Biscotti-4965r,"Biscotti are a special class of biscuits, which are baked twice. This gives them a unique texture, which is firm to bite but soft on the palate! Baking twice also gives them a rich, well-done aroma. This recipe shares the secret of making fabulous Almond Biscotti, with the aesthetic flavour of vanilla and cinnamon and the amazing crunch of almonds. You can serve them fresh and warm, or cool and store in an airtight container.Enjoy with a cup of Hot Coffee or Hot Chocolate .",Tarla Dalal,10 mins,0 mins ,701 hours 10 minutes,"39197, 39198, 39171, 39199, 39200, 39201, 1305, 39141, 39202","Combine the plain flour, baking powder, cocoa powder, cinnamon powder, castor sugar and almonds in a deep bowl and mix well.
Add the eggs and vanilla essence, mix well and knead into a soft and sticky dough without using any water.
Grease your palms with little oil, place the dough on a greased baking tray and spread it with your fingers to form a 200 mm. × 75 mm. (8” x 3”) rectangle.
Bake it in a pre-heated oven at 160°c (320°f) for 25 minutes. Keep aside to cool completely.
Once cooled, cut diagonally into 15 thin pieces.
Arrange them on a baking tray and bake in a pre-heated oven at 160°c (320°f) for 30 minutes or till they are crisp, turning them once after 15 minutes.
Serve or store it in an air-tight container.",5,6,125 cal,15 biscottis (15 biscotti ),6 g,14.7 g,3.4 g,0 mg,1 mg,https://www.tarladalal.com/members/9306/big/big_almond_biscotti-11905.jpg?size=696X905
Almond Praline Cake ( Cakes and Pastries Recipe),https://www.tarladalal.com/Almond-Praline-Cake-(-Cakes-and-Pastries-Recipe)-33928r,"A spongy cake with a crunchy texture, this looks as if it is covered in translucent gold if you use chikki instead of praline!",Tarla Dalal,20 mins,15 mins,35 mins ,"39203, 39204, 39202, 39205, 39206, 39207, 39208, 39209, 39210, 39211, 39212, 39213, 39214, 39215, 39216, 39217, 39218","Melt the sugar in a pan on a slow flame.
Carefully take a little sugar syrup with the laddle, place it on your thumb, press your index finger against it and check if you get a 1-string consistency. If so, then syrup is ready and if not, then continue cooking , while stirring continuously till you get a 1-string consistency.
Once it has melted, add the coarsely ground cashewnuts and mix well to make the praline.
Grease a flat rolling board with a little oil.
Pour the mixture on the greased flat surface and roll it with the greased rolling pin so as to get a thin layer. Do not touch the praline at this point as it will be really hot and can cause serious burns.
To make small triangles, cut parallel lines at a distance of 25 mm. (1"") with the help of a knife or a metal dough cutter.
Then cut the praline diagonally to form a triangle. Make 6 such triangles and keep aside.
Crush the remaining praline coarsely with a rolling pin. Keep aside.
Slice the sponge cake horizontally into 2 equal parts. Keep aside.
Combine the plain butter cream icing, food colour and almond essence in a bowl and mix well using a wooden spoon. Keep ¼ cup of butter cream icing aside for the decoration.
Soak the bottom layer of the sponge cake with ½ the soaking syrup.
Spread ½ cup of butter cream icing on the soaked layer of the cake.
Sprinkle a little crushed praline on top and sandwich with the second layer of the sponge cake.
Soak the second layer of the cake with the remaining soaking syrup and spread the remaining butter cream icing cream evenly on top and at the sides.
Transfer the cake onto a cake board and refrigerate for 20 minutes to set.
Place the cake on a turntable and run a pastry comb along the sides.
Fill the plastic disposable piping bag fitted with a no. 5 star nozzle with the butter cream icing. Hold the piping bag in your hand and move your wrist anti-clockwise while applying gentle pressure to make a swirl.
Finish the circle and gently lift it in a single motion to form a peak.
Repeat to make 6 swirls on top of the cake.
Using the crushed praline, decorate the centre and the base of the cake.
Place 1 praline triangle on each swirl.
Cut into 6 equal wedges and serve
For the butter cream icing, sieve 1 cup icing sugar and add 2tsp chopped lemon rind to it and keep aside. Cream 3/4 cup of icing margarine using a wooden spoon till it is light and smooth and gradually, add the sieved icing sugar and lemon rind and cream till all the icing sugar is added. Mix well a",5,1,NULL,1 cake,NULL,NULL,NULL,NULL,NULL,https://www.tarladalal.com/members/9306/big/big_almond_praline_cake_(_cakes_and_pastries_recipe)-2401.jpg?size=696X905
"Aloo and Kand Rasawala Shaak, Faraal Recipe",https://www.tarladalal.com/Aloo-and-Kand-Rasawala-Shaak-Faraal-Recipe-41478r,"This recipe is a mouth-watering preparation of kand and potatoes in a base of curds, thickened with rajgira flour. The Aloo and Kand Rasawali Shaak gets its finger-licking flavour and appetizing aroma from green chilli paste and a tempering of cumin seeds. The best part is that you can have this shaak on a fasting day as well. Do not overcook the kand and potatoes as they might get mushy when continuing to cook with the other ingredients. If you are going to have this recipe later, then add some water and heat a little before serving. You can try other delicious faraali recipes like the Faraali Pattice and Faraali Dosa .",Tarla Dalal,15 mins,9 mins,24 mins ,"39219, 39220, 39221, 39222, 1269, 38822, 38901, 39022, 39223, 39224","Combine the curds, rajgira flour, salt and 1 cup of water in a deep bowl, whisk well and keep aside.
Heat the oil in a deep non-stick pan, add the cumin seeds and sauté on a medium flame for 30 seconds.
Add the curd-water mixture, potatoes, kand, green chilli paste and sugar, mix gently and cook on a medium flame for 8 minutes, while stirring occasionally.
Add the coriander and mix well.
Serve hot.",5,2,158 cal,4 servings,6.2 g,20.6 g,2.8 g,0 mg,13.2 mg,"https://www.tarladalal.com/members/9306/big/big_aloo_and_kand_rasawala_shaak,_faraal_recipe-12694.jpg?size=696X905"
